Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"       00007",District #7 - Anki MacIsaac,9,00100,DS," "," ",02,OH,NS,07,NS," "," "," "," "," "," "," ",37," "," "," "," ",171," ",02," "," "," "," "," "," "," "," "," ",89," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73832,,,,,,,"       00007",District #7 - Anki MacIsaac,0,Not Restricted,"            ",
"       00008",District #8 - TM,9,00100,TM," "," ",01,OH,AB,08,AB," "," "," "," "," "," "," ",02," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73834,,,,,,,"       00008",District #8 - TM,0,Not Restricted,"            ",
"       00009",District #9-Jeannie MacDonald,9,00100,DS," "," ",02,OH,NL,09,NL," "," "," "," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",50,05,17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",86866,,,,,,,"       00009",District #9-Jeannie MacDonald,0,Not Restricted,"            ",
"       00010",District #10 - TM,9,00100,TM," "," ",02,OH,NB,10,NB," "," ",CL," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",51," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",86876,,,,,,,"       00010",District #10 - TM,0,Not Restricted,"            ",
"       00011",District #11 - M. Webb,9,00100,DS," "," ",02,OH,ON,11,OR," "," "," "," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",66," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," ",N," ",91124,,,,,,,"       00011",District #11 - M. Webb,0,Not Restricted,"            ",
"       00012",District #12 - TM,9,00500,TM," "," ",11,OH,QC,12,QCL," "," "," "," "," "," "," ",13," "," "," "," ",28," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",86898,,,,,,,"       00012",District #12 - TM,0,Not Restricted,"            ",
"       00013",District #13 - TM,9,00500,TM," "," ",01,OH,QC,13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",86899,,,,,,,"       00013",District #13 - TM,0,Not Restricted,"            ",
"       00014",District #14 - A. Dilabio,9,00100,DS," "," ",02,OH,ON,14,OR," "," "," "," "," "," "," "," "," "," "," "," ",35," ",02," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",89836,,,,,,,"       00014",District #14 - A. Dilabio,0,Not Restricted,"            ",
"       00015",District #15 - E. McKay - TM,9,00350,TM," "," ",02,OH,ON,15,OR," "," "," "," "," "," "," ",37," "," "," "," ",11," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",90281,,,,,,,"       00015",District #15 - E. McKay - TM,0,Not Restricted,"            ",
"       00016",District #16-Carol Corbett -TM,9,00350,DS," "," ",02,OH,ON,16,OR," "," ",CL," "," "," "," ",40," "," "," "," ",11," ",02," "," "," "," "," "," "," "," "," ",61," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",90283,,,,,,,"       00016",District #16-Carol Corbett -TM,0,Not Restricted,"            ",
"       00017",District #17- TM,9,00350,DS," "," ",02,OH,NS,17,NS," "," ",CL," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",03," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",90284,,,,,,,"       00017",District #17- TM,0,Not Restricted,"            ",
"       00018",Dist. #18 No Longer Used -TM,9,00350,TM," "," ",02,OH,NS,18,NS," "," ",CL," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",03," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",90285,,,,,,,"       00018",Dist. #18 No Longer Used -TM,0,Not Restricted,"            ",
"       00019",Andy Murray - Overhead,9,00350,RD," "," ",01,OR,NS," ",NS," "," "," "," "," "," "," ",32," "," "," "," ",16," ",02," "," "," "," "," "," "," "," "," ",89," ",11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,RD," "," "," ",90286,,,,,,,"       00019",Andy Murray - Overhead,0,Not Restricted,"            ",
"       00020",District #20 - JF Dagenais-TM,9,00100,TM," "," ",02,OH,ON,20," "," "," ",CL," "," "," "," ",40," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73835,,,,,,,"       00020",District #20 - JF Dagenais-TM,0,Not Restricted,"            ",
"       00021",District #21 -Janet Dionisi-TM,9,00100,TM," "," ",01,OH,ON,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",65," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73837,,,,,,,"       00021",District #21 -Janet Dionisi-TM,0,Not Restricted,"            ",
"       00022",District #22 - TM,9,00500,TM," "," ",11,OH,QC,22,QCL," "," "," "," "," "," "," ",13," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73841,,,,,,,"       00022",District #22 - TM,0,Not Restricted,"            ",
"       00023",District #23 - K.Booth - TM,9,00100,TM," "," ",01,OH,ON,23,OR," "," "," "," "," "," "," ",31," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",60," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73848,,,,,,,"       00023",District #23 - K.Booth - TM,0,Not Restricted,"            ",
"       00024",District #24 - Kim Mantovani,9,00100,DS," "," ",01,OH,ON,24,OR," "," "," "," "," "," "," ",32," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",73851,,,,,,,"       00024",District #24 - Kim Mantovani,0,Not Restricted,"            ",
"       00025",District #25 -Marwan El Chafei,9,00100,DS," "," ",01,OH,ON,25,OR," "," "," "," "," "," "," ",31," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",73852,,,,,,,"       00025",District #25 -Marwan El Chafei,0,Not Restricted,"            ",
"       00026",District #26 - G. Ramasamy,9,00100,DS," "," ",01,OH,ON,26,OR," "," "," "," "," "," "," ",31," "," "," "," ",154," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73854,,,,,,,"       00026",District #26 - G. Ramasamy,0,Not Restricted,"            ",
"       00027",District #27 - L King,9,00100,DS," "," ",01,OH,NL,27,NL," "," "," "," "," "," "," ",01," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",50," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",86900,,,,,,,"       00027",District #27 - L King,0,Not Restricted,"            ",
"       00028",District #28 - Kim Brushett-TM,9,00100,DS," "," ",02,OH,NL,28,NL," "," ",CL," "," "," "," ",37," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",50," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",73855,,,,,,,"       00028",District #28 - Kim Brushett-TM,0,Not Restricted,"            ",
"       00029",District #29 - D. Coculescu,9,00100,DS," "," ",01,OH,BC,29,BCB," "," "," "," "," "," "," ",66," "," "," "," ",62," ",02," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73856,,,,,,,"       00029",District #29 - D. Coculescu,0,Not Restricted,"            ",
"       00030",District #30-Regional Mrktg-TM,9,00100,TM," "," ",01,OH,ON,30,OR," "," "," "," "," "," "," ",50," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73857,,,,,,,"       00030",District #30-Regional Mrktg-TM,0,Not Restricted,"            ",
"       00031",District #31 - C. Haimila,9,00100,DS," "," ",01,OH,AB,31,BCB," "," "," "," "," "," "," ",32," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",07," ",142,02," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73858,,,,,,,"       00031",District #31 - C. Haimila,0,Not Restricted,"            ",
"       00032",District #32 -  W. DaSilva,9,00100,DS," "," ",01,OH,ON,32,OR," "," "," "," "," "," "," ",31," "," "," "," ",154," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73859,,,,,,,"       00032",District #32 -  W. DaSilva,0,Not Restricted,"            ",
"       00033",District #33 - M. Masse - TM,9,00100,TM," "," ",01,OH,ON,33,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",91129,,,,,,,"       00033",District #33 - M. Masse - TM,0,Not Restricted,"            ",
"       00034",District #34 - R. Sabourin,9,00100,DS," "," ",01,OH,ON,34,OR," "," "," "," "," "," "," ",32," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",93," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",131339,,,,,,,"       00034",District #34 - R. Sabourin,0,Not Restricted,"            ",
"       00035",District #35 - Derek Kuffer,9,00100,DS," "," ",01,OH,ON,35,OR," "," "," "," "," "," "," ",31," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",119115,,,,,,,"       00035",District #35 - Derek Kuffer,0,Not Restricted,"            ",
"       00036",District #36 - G. Ramasamy,9,00500,DS," "," ",01,OH,ON,36,OR," "," "," "," "," "," "," ",31," "," "," "," ",154," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",86901,,,,,,,"       00036",District #36 - G. Ramasamy,0,Not Restricted,"            ",
"       00037",District #37 - M. Lalani,9,00350,DS," "," ",01,OH,BC,37,BCB," "," "," "," "," "," "," ",66," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",07," ",142," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",91130,,,,,,,"       00037",District #37 - M. Lalani,0,Not Restricted,"            ",
"       00038",District #38 - No longer used,9,00350,TM," "," ",01,OH,ON,38,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",91131,,,,,,,"       00038",District #38 - No longer used,0,Not Restricted,"            ",
"       00039",District #39 - D. Johnston,9,00350,DS," "," ",01,OH,NS,39," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",91134,,,,,,,"       00039",District #39 - D. Johnston,0,Not Restricted,"            ",
"       00040",District #40 - No longer used,9,00100,TM," "," ",03,OH,ON,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73860,,,,,,,"       00040",District #40 - No longer used,0,Not Restricted,"            ",
"       00041",District #41 - D. Tremblay,9,00500,DS," "," ",11,OH,QC,41,QCL," "," "," "," "," "," "," ",13," "," "," "," ",153," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73861,,,,,,,"       00041",District #41 - D. Tremblay,0,Not Restricted,"            ",
"       00042",District #42 - P. Quéron,9,00500,DS," "," ",11,OH,QC,42,QCL," "," "," "," "," "," "," ",13," "," "," "," ",153," ",02," "," "," "," "," "," "," "," "," ",04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73862,,,,,,,"       00042",District #42 - P. Quéron,0,Not Restricted,"            ",
"       00043",District #43-No longer used TM,9,00100,TM," "," ",03,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73863,,,,,,,"       00043",District #43-No longer used TM,0,Not Restricted,"            ",
"       00044",District #44 - M. Pereira,9,00100,TM," "," ",03,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,TM," ",N," ",73864,,,,,,,"       00044",District #44 - M. Pereira,0,Not Restricted,"            ",
"       00045",District #45 - No Longer Used,9,00100,TM," "," ",03,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73865,,,,,,,"       00045",District #45 - No Longer Used,0,Not Restricted,"            ",
"       00046",District #46 - S. DeCaria,9,00100,DS," "," ",03,OH,ON,46,OR," "," "," "," "," "," "," ",09," "," "," "," ",133," ",03," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73866,,,,,,,"       00046",District #46 - S. DeCaria,0,Not Restricted,"            ",
"       00047",District #47 -Michelle Pereira,9,00100,TM," "," ",03,OH,ON,91,OR," "," "," "," "," "," "," "," ",O11," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73867,,,,,,,"       00047",District #47 -Michelle Pereira,0,Not Restricted,"            ",
"       00048",District #48 - No longer used,9,00100,TM," "," ",03,OH,SK,91," "," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",70," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73868,,,,,,,"       00048",District #48 - No longer used,0,Not Restricted,"            ",
"       00049",District #49 - Anna Madras,9,00100,DS," "," ",03,OH,ON,49,OR," "," "," "," "," "," "," ",09," "," "," "," ",56," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73869,,,,,,,"       00049",District #49 - Anna Madras,0,Not Restricted,"            ",
"       00050",District #50 - No longer Used,9,00100,TM," "," ",03,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73876,,,,,,,"       00050",District #50 - No longer Used,0,Not Restricted,"            ",
"       00051",District #51 - P. Emanuel,9,00100,DS," "," ",03,OH,BC,51,BCB," "," "," "," "," "," "," ",98," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73877,,,,,,,"       00051",District #51 - P. Emanuel,0,Not Restricted,"            ",
"       00052",District #52- B. Carnie,9,00100,DS," "," ",32,OH,ON,52,OR," "," "," "," "," "," "," ",25," "," "," "," "," "," ",32," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",73878,,,,,,,"       00052",District #52- B. Carnie,0,Not Restricted,"            ",
"       00053",District #53 - Dale Roberts,9,00100,DS," "," ",32,OH,BC,53,BCB," "," "," "," "," "," "," ",25," "," "," "," "," "," ",32," "," "," "," "," "," "," "," "," ",07,10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",39906,,,,,,,"       00053",District #53 - Dale Roberts,0,Not Restricted,"            ",
"       00054",District #54 - Brit Mckinna,9,00100,TM," "," ",03,OH,AB,91,AB," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",86902,,,,,,,"       00054",District #54 - Brit Mckinna,0,Not Restricted,"            ",
"       00055",District #55 - G. Shalev,9,00100,DS," "," ",01,OH,MB,55,MB," "," "," "," "," "," "," ",02," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",08," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",73881,,,,,,,"       00055",District #55 - G. Shalev,0,Not Restricted,"            ",
"       00056",District #56-Temp.Mgmt Support,9,00100,TM," "," ",03,OH,AB,91,AB," "," "," "," "," "," "," "," "," "," "," ",N/A," "," ",03," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",86903,,,,,,,"       00056",District #56-Temp.Mgmt Support,0,Not Restricted,"            ",
"       00057",District #57-K.Uytterhagen TM,9,00100,TM," "," ",03,OH,AB,91,AB," "," ",CL," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",73884,,,,,,,"       00057",District #57-K.Uytterhagen TM,0,Not Restricted,"            ",
"       00058",District #58 - No longer used,9,00350,TM," "," ",03,OH,BC,91,BCB," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",91123,,,,,,,"       00058",District #58 - No longer used,0,Not Restricted,"            ",
"       00059",District #59 - Denis Salle,9,00100,TM," "," ",03,OH,AB,91,AB," "," "," "," "," "," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,TM," ",N," ",73886,,,,,,,"       00059",District #59 - Denis Salle,0,Not Restricted,"            ",
